avg_move_rank,rank_0_ratio,rank_1_ratio,rank_0_or_1_ratio,rank_variance,game_length,label
15.195652173913043,0.043478260869565216,0.021739130434782608,0.06521739130434782,102.56086956521739,46.0,0
0.3125,0.6875,0.3125,1.0,0.22916666666666666,16.0,1
14.431372549019608,0.058823529411764705,0.058823529411764705,0.11764705882352941,99.65019607843138,51.0,0
10.987341772151899,0.08860759493670886,0.0759493670886076,0.16455696202531644,103.24342745861733,79.0,0
10.2,0.0625,0.125,0.1875,76.97215189873418,80.0,0
10.69811320754717,0.07547169811320754,0.018867924528301886,0.09433962264150944,47.25326560232221,53.0,0
17.76388888888889,0.05555555555555555,0.027777777777777776,0.08333333333333333,127.90121283255085,72.0,0
10.295081967213115,0.10655737704918032,0.05737704918032787,0.16393442622950818,80.95352933206883,122.0,0
17.28358208955224,0.07462686567164178,0.05970149253731343,0.13432835820895522,157.38805970149255,67.0,0
0.46875,0.53125,0.46875,1.0,0.25297619047619047,64.0,1
13.75,0.10416666666666667,0.0625,0.16666666666666666,126.21052631578948,96.0,0
15.776119402985074,0.029850746268656716,0.04477611940298507,0.07462686567164178,103.63093622795115,67.0,0
0.4166666666666667,0.5833333333333334,0.4166666666666667,1.0,0.2536231884057971,24.0,1
0.5,0.5,0.5,1.0,0.25396825396825395,64.0,1
0.5,0.5,0.5,1.0,0.2857142857142857,8.0,1
9.513513513513514,0.10135135135135136,0.0472972972972973,0.14864864864864866,73.48961206104063,148.0,0
14.204081632653061,0.12244897959183673,0.061224489795918366,0.1836734693877551,136.57647801388597,98.0,0
9.97841726618705,0.1366906474820144,0.07194244604316546,0.20863309352517986,92.93431341883016,139.0,0
12.493150684931507,0.0547945205479452,0.0547945205479452,0.1095890410958904,111.1978691019787,73.0,0
17.164948453608247,0.030927835051546393,0.030927835051546393,0.061855670103092786,135.57667525773195,97.0,0
15.35593220338983,0.01694915254237288,0.03389830508474576,0.05084745762711865,115.99181765049678,59.0,0
0.44642857142857145,0.5535714285714286,0.44642857142857145,1.0,0.25162337662337664,56.0,1
0.44642857142857145,0.5535714285714286,0.44642857142857145,1.0,0.25162337662337664,56.0,1
14.046153846153846,0.03076923076923077,0.03076923076923077,0.06153846153846154,69.16971153846154,65.0,0
0.5,0.5,0.5,1.0,0.26666666666666666,16.0,1
0.625,0.375,0.625,1.0,0.26785714285714285,8.0,1
18.862068965517242,0.04597701149425287,0.05747126436781609,0.10344827586206896,163.93424218123496,87.0,0
0.5,0.5,0.5,1.0,0.26666666666666666,16.0,1
0.45,0.55,0.45,1.0,0.25384615384615383,40.0,1
0.5,0.5,0.5,1.0,0.2564102564102564,40.0,1
14.885714285714286,0.0,0.05714285714285714,0.05714285714285714,74.39831932773109,35.0,0
0.546875,0.453125,0.546875,1.0,0.2517361111111111,64.0,1
17.068181818181817,0.022727272727272728,0.022727272727272728,0.045454545454545456,97.85736677115987,88.0,0
0.46875,0.53125,0.46875,1.0,0.25705645161290325,32.0,1
17.48780487804878,0.04878048780487805,0.024390243902439025,0.07317073170731707,97.60609756097561,41.0,0
13.11111111111111,0.037037037037037035,0.09876543209876543,0.13580246913580246,75.7,81.0,0
0.625,0.375,0.625,1.0,0.26785714285714285,8.0,1
18.026315789473685,0.02631578947368421,0.0,0.02631578947368421,129.8641536273115,38.0,0
11.881578947368421,0.10526315789473684,0.039473684210526314,0.14473684210526316,84.21245614035088,76.0,0
0.5416666666666666,0.4583333333333333,0.5416666666666666,1.0,0.25905797101449274,24.0,1
17.390625,0.03125,0.015625,0.046875,96.4640376984127,64.0,0
0.45,0.55,0.45,1.0,0.25384615384615383,40.0,1
0.375,0.625,0.375,1.0,0.26785714285714285,8.0,1
17.633333333333333,0.0,0.03333333333333333,0.03333333333333333,73.61954022988506,30.0,0
0.5,0.5,0.5,1.0,0.2608695652173913,24.0,1
14.476190476190476,0.06349206349206349,0.07936507936507936,0.14285714285714285,111.93087557603687,63.0,0
0.35,0.65,0.35,1.0,0.23333333333333334,40.0,1
17.40506329113924,0.02531645569620253,0.012658227848101266,0.0379746835443038,105.91074326517365,79.0,0
0.4166666666666667,0.5833333333333334,0.4166666666666667,1.0,0.2536231884057971,24.0,1
10.375,0.0,0.0,0.0,26.839285714285715,8.0,0
0.5,0.5,0.5,1.0,0.25396825396825395,64.0,1
19.721311475409838,0.04918032786885246,0.0,0.04918032786885246,122.97103825136612,61.0,0
0.46875,0.53125,0.46875,1.0,0.25705645161290325,32.0,1
11.467153284671532,0.072992700729927,0.08759124087591241,0.16058394160583941,84.28016316015457,137.0,0
0.46875,0.53125,0.46875,1.0,0.25705645161290325,32.0,1
14.81081081081081,0.0945945945945946,0.04054054054054054,0.13513513513513514,143.90892262125138,74.0,0
0.5,0.5,0.5,1.0,0.26666666666666666,16.0,1
0.453125,0.546875,0.453125,1.0,0.2517361111111111,64.0,1
13.168539325842696,0.033707865168539325,0.0449438202247191,0.07865168539325842,93.91445352400409,89.0,0
13.792792792792794,0.07207207207207207,0.05405405405405406,0.12612612612612611,112.71122031122032,111.0,0
0.55,0.45,0.55,1.0,0.25384615384615383,40.0,1
0.4166666666666667,0.5833333333333334,0.4166666666666667,1.0,0.2536231884057971,24.0,1
18.372881355932204,0.1016949152542373,0.01694915254237288,0.11864406779661017,162.47925189947398,59.0,0
15.533333333333333,0.0,0.0,0.0,125.98095238095237,15.0,0
15.975,0.0,0.05,0.05,77.10192307692307,40.0,0
19.51063829787234,0.02127659574468085,0.0,0.02127659574468085,144.38575393154485,47.0,0
17.5,0.0,0.0,0.0,100.57692307692308,14.0,0
16.803030303030305,0.045454545454545456,0.030303030303030304,0.07575757575757576,136.31445221445222,66.0,0
0.5,0.5,0.5,1.0,0.25806451612903225,32.0,1
16.410714285714285,0.03571428571428571,0.0,0.03571428571428571,103.66461038961039,56.0,0
13.926470588235293,0.029411764705882353,0.07352941176470588,0.10294117647058823,105.44227392449517,68.0,0
17.311475409836067,0.09836065573770492,0.0,0.09836065573770492,126.81803278688524,61.0,0
0.48214285714285715,0.5178571428571429,0.48214285714285715,1.0,0.25422077922077924,56.0,1
0.5625,0.4375,0.5625,1.0,0.25,64.0,1
0.5,0.5,0.5,1.0,0.2608695652173913,24.0,1
15.607142857142858,0.07142857142857142,0.0,0.07142857142857142,111.95194805194805,56.0,0
17.322580645161292,0.03225806451612903,0.08064516129032258,0.11290322580645161,149.79587519830778,62.0,0
0.4375,0.5625,0.4375,1.0,0.2625,16.0,1
0.5416666666666666,0.4583333333333333,0.5416666666666666,1.0,0.25354609929078015,48.0,1
14.142857142857142,0.10714285714285714,0.03571428571428571,0.14285714285714285,130.42328042328043,28.0,0
13.094827586206897,0.05172413793103448,0.05172413793103448,0.10344827586206896,91.16484257871065,116.0,0
18.072727272727274,0.01818181818181818,0.0,0.01818181818181818,115.51313131313131,55.0,0
0.4583333333333333,0.5416666666666666,0.4583333333333333,1.0,0.25905797101449274,24.0,1
9.072164948453608,0.07216494845360824,0.08247422680412371,0.15463917525773196,74.23432130584193,97.0,0
17.2,0.0,0.022222222222222223,0.022222222222222223,108.43636363636364,45.0,0
14.793650793650794,0.015873015873015872,0.07936507936507936,0.09523809523809523,90.65028161802356,63.0,0
11.827868852459016,0.11475409836065574,0.05737704918032787,0.1721311475409836,87.97839046199702,122.0,0
12.472727272727273,0.12727272727272726,0.05454545454545454,0.18181818181818182,115.26071726438698,110.0,0
13.734177215189874,0.0,0.08860759493670886,0.08860759493670886,90.63356053229471,79.0,0
11.355555555555556,0.1,0.044444444444444446,0.14444444444444443,95.10811485642947,90.0,0
0.4791666666666667,0.5208333333333334,0.4791666666666667,1.0,0.2548758865248227,48.0,1
9.098484848484848,0.11363636363636363,0.07575757575757576,0.1893939393939394,65.37190608373814,132.0,0
0.5,0.5,0.5,1.0,0.2857142857142857,8.0,1
17.26086956521739,0.0,0.043478260869565216,0.043478260869565216,117.57487922705315,46.0,0
13.954545454545455,0.045454545454545456,0.0,0.045454545454545456,46.616883116883116,22.0,0
13.781818181818181,0.03636363636363636,0.05454545454545454,0.09090909090909091,89.3959595959596,55.0,0
0.4583333333333333,0.5416666666666666,0.4583333333333333,1.0,0.25354609929078015,48.0,1
10.571428571428571,0.07142857142857142,0.05952380952380952,0.13095238095238096,68.6815834767642,84.0,0
13.847222222222221,0.09722222222222222,0.06944444444444445,0.16666666666666666,123.11717527386541,72.0,0
12.5,0.046875,0.09375,0.140625,110.22222222222223,64.0,0
0.4583333333333333,0.5416666666666666,0.4583333333333333,1.0,0.25354609929078015,48.0,1
0.484375,0.515625,0.484375,1.0,0.2537202380952381,64.0,1
14.294117647058824,0.0,0.058823529411764705,0.058823529411764705,75.22058823529412,17.0,0
0.5416666666666666,0.4583333333333333,0.5416666666666666,1.0,0.25905797101449274,24.0,1
10.033333333333333,0.14444444444444443,0.1,0.24444444444444444,89.2685393258427,90.0,0
10.125,0.0625,0.0625,0.125,66.51666666666667,16.0,0
0.5416666666666666,0.4583333333333333,0.5416666666666666,1.0,0.25905797101449274,24.0,1
11.348214285714286,0.0625,0.07142857142857142,0.13392857142857142,74.44522200772201,112.0,0
0.4375,0.5625,0.4375,1.0,0.25,64.0,1
0.46875,0.53125,0.46875,1.0,0.25297619047619047,64.0,1
0.44642857142857145,0.5535714285714286,0.44642857142857145,1.0,0.25162337662337664,56.0,1
13.327868852459016,0.03278688524590164,0.03278688524590164,0.06557377049180328,72.59071038251366,61.0,0
0.5,0.5,0.5,1.0,0.2857142857142857,8.0,1
18.071428571428573,0.03571428571428571,0.05357142857142857,0.08928571428571429,159.63116883116882,56.0,0
8.142857142857142,0.047619047619047616,0.047619047619047616,0.09523809523809523,29.928571428571427,21.0,0
16.708333333333332,0.0,0.0,0.0,58.82427536231884,24.0,0
0.4583333333333333,0.5416666666666666,0.4583333333333333,1.0,0.25905797101449274,24.0,1
16.586206896551722,0.0,0.034482758620689655,0.034482758620689655,93.82266009852216,29.0,0
0.44642857142857145,0.5535714285714286,0.44642857142857145,1.0,0.25162337662337664,56.0,1
0.4375,0.5625,0.4375,1.0,0.25132978723404253,48.0,1
0.375,0.625,0.375,1.0,0.25,16.0,1
14.285714285714286,0.0,0.0,0.0,72.9047619047619,7.0,0
14.82258064516129,0.016129032258064516,0.03225806451612903,0.04838709677419355,100.24669487043892,62.0,0
0.4583333333333333,0.5416666666666666,0.4583333333333333,1.0,0.25354609929078015,48.0,1
13.146341463414634,0.024390243902439025,0.0,0.024390243902439025,74.27804878048781,41.0,0
0.5416666666666666,0.4583333333333333,0.5416666666666666,1.0,0.25905797101449274,24.0,1
0.5,0.5,0.5,1.0,0.2564102564102564,40.0,1
0.546875,0.453125,0.546875,1.0,0.2517361111111111,64.0,1
0.5625,0.4375,0.5625,1.0,0.2625,16.0,1
18.82758620689655,0.034482758620689655,0.0,0.034482758620689655,99.2192118226601,29.0,0
14.947368421052632,0.0,0.017543859649122806,0.017543859649122806,89.94360902255639,57.0,0
13.189655172413794,0.10344827586206896,0.017241379310344827,0.1206896551724138,101.80550514216576,58.0,0
0.4583333333333333,0.5416666666666666,0.4583333333333333,1.0,0.25905797101449274,24.0,1
15.109375,0.046875,0.015625,0.0625,108.95610119047619,64.0,0
14.027397260273972,0.0958904109589041,0.0410958904109589,0.136986301369863,104.63812785388127,73.0,0
0.5208333333333334,0.4791666666666667,0.5208333333333334,1.0,0.2548758865248227,48.0,1
15.046511627906977,0.08139534883720931,0.023255813953488372,0.10465116279069768,101.50369357045143,86.0,0
0.375,0.625,0.375,1.0,0.2403846153846154,40.0,1
0.375,0.625,0.375,1.0,0.25,16.0,1
0.375,0.625,0.375,1.0,0.26785714285714285,8.0,1
10.948051948051948,0.06493506493506493,0.11688311688311688,0.18181818181818182,92.28673957621326,77.0,0
0.390625,0.609375,0.390625,1.0,0.2418154761904762,64.0,1
0.375,0.625,0.375,1.0,0.25,16.0,1
0.5,0.5,0.5,1.0,0.2857142857142857,8.0,1
0.5,0.5,0.5,1.0,0.2857142857142857,8.0,1
13.290909090909091,0.01818181818181818,0.10909090909090909,0.12727272727272726,79.43232323232323,55.0,0
18.8,0.03636363636363636,0.03636363636363636,0.07272727272727272,150.82962962962964,55.0,0
0.46875,0.53125,0.46875,1.0,0.25297619047619047,64.0,1
0.5833333333333334,0.4166666666666667,0.5833333333333334,1.0,0.2536231884057971,24.0,1
0.5,0.5,0.5,1.0,0.25396825396825395,64.0,1
0.5,0.5,0.5,1.0,0.2553191489361702,48.0,1
0.4375,0.5625,0.4375,1.0,0.25,64.0,1
0.45,0.55,0.45,1.0,0.25384615384615383,40.0,1
0.5,0.5,0.5,1.0,0.2553191489361702,48.0,1
0.375,0.625,0.375,1.0,0.24193548387096775,32.0,1
14.108108108108109,0.02702702702702703,0.0,0.02702702702702703,79.93243243243244,37.0,0
0.40625,0.59375,0.40625,1.0,0.24899193548387097,32.0,1
0.515625,0.484375,0.515625,1.0,0.2537202380952381,64.0,1
0.3125,0.6875,0.3125,1.0,0.22916666666666666,16.0,1
0.45,0.55,0.45,1.0,0.25384615384615383,40.0,1
0.390625,0.609375,0.390625,1.0,0.2418154761904762,64.0,1
0.5625,0.4375,0.5625,1.0,0.2625,16.0,1
0.4791666666666667,0.5208333333333334,0.4791666666666667,1.0,0.2548758865248227,48.0,1
15.71875,0.109375,0.015625,0.125,99.98313492063492,64.0,0
0.4375,0.5625,0.4375,1.0,0.2625,16.0,1
0.4166666666666667,0.5833333333333334,0.4166666666666667,1.0,0.24822695035460993,48.0,1
13.578947368421053,0.013157894736842105,0.05263157894736842,0.06578947368421052,103.92701754385965,76.0,0
11.183098591549296,0.08450704225352113,0.07746478873239436,0.1619718309859155,90.19318749375687,142.0,0
14.71830985915493,0.1267605633802817,0.028169014084507043,0.15492957746478872,130.54808853118712,71.0,0
0.5,0.5,0.5,1.0,0.2608695652173913,24.0,1
0.475,0.525,0.475,1.0,0.25576923076923075,40.0,1
10.39047619047619,0.02857142857142857,0.08571428571428572,0.11428571428571428,52.27875457875458,105.0,0
9.845454545454546,0.10909090909090909,0.045454545454545456,0.15454545454545454,85.69149291075897,110.0,0
0.4375,0.5625,0.4375,1.0,0.2625,16.0,1
15.688524590163935,0.04918032786885246,0.04918032786885246,0.09836065573770492,101.5846994535519,61.0,0
14.830985915492958,0.04225352112676056,0.07042253521126761,0.11267605633802817,98.65674044265593,71.0,0
0.5,0.5,0.5,1.0,0.2857142857142857,8.0,1
14.95774647887324,0.028169014084507043,0.014084507042253521,0.04225352112676056,109.61247484909457,71.0,0
0.4166666666666667,0.5833333333333334,0.4166666666666667,1.0,0.24822695035460993,48.0,1
13.808823529411764,0.04411764705882353,0.04411764705882353,0.08823529411764706,90.84350307287094,68.0,0
0.4,0.6,0.4,1.0,0.24615384615384617,40.0,1
0.475,0.525,0.475,1.0,0.25576923076923075,40.0,1
0.45,0.55,0.45,1.0,0.25384615384615383,40.0,1
0.5,0.5,0.5,1.0,0.2857142857142857,8.0,1
17.037735849056602,0.03773584905660377,0.0,0.03773584905660377,72.34470246734398,53.0,0
0.4166666666666667,0.5833333333333334,0.4166666666666667,1.0,0.24822695035460993,48.0,1
18.804878048780488,0.024390243902439025,0.0,0.024390243902439025,116.8109756097561,41.0,0
15.82716049382716,0.037037037037037035,0.024691358024691357,0.06172839506172839,115.39475308641975,81.0,0
0.5357142857142857,0.4642857142857143,0.5357142857142857,1.0,0.2532467532467532,56.0,1
0.375,0.625,0.375,1.0,0.25,16.0,1
19.65625,0.0,0.0,0.0,95.0070564516129,32.0,0
13.080357142857142,0.044642857142857144,0.07142857142857142,0.11607142857142858,101.7322232947233,112.0,0
19.428571428571427,0.0,0.0,0.0,72.65714285714286,21.0,0
12.378048780487806,0.012195121951219513,0.036585365853658534,0.04878048780487805,58.880006022282444,82.0,0
12.696969696969697,0.16666666666666666,0.0,0.16666666666666666,107.22983682983683,66.0,0
0.5625,0.4375,0.5625,1.0,0.2625,16.0,1
12.715909090909092,0.125,0.022727272727272728,0.14772727272727273,85.58503134796238,88.0,0
13.040816326530612,0.05102040816326531,0.030612244897959183,0.08163265306122448,97.07048180096781,98.0,0
12.646153846153846,0.06153846153846154,0.015384615384615385,0.07692307692307693,93.66971153846154,65.0,0
0.525,0.475,0.525,1.0,0.25576923076923075,40.0,1
14.833333333333334,0.03571428571428571,0.047619047619047616,0.08333333333333333,101.22489959839358,84.0,0
0.44642857142857145,0.5535714285714286,0.44642857142857145,1.0,0.25162337662337664,56.0,1
0.5,0.5,0.5,1.0,0.2608695652173913,24.0,1
16.871794871794872,0.02564102564102564,0.0,0.02564102564102564,85.3778677462888,39.0,0
12.19548872180451,0.08270676691729323,0.06766917293233082,0.15037593984962405,111.35543403964456,133.0,0
17.181818181818183,0.03636363636363636,0.03636363636363636,0.07272727272727272,145.59595959595958,55.0,0
0.40625,0.59375,0.40625,1.0,0.24503968253968253,64.0,1
18.89830508474576,0.0,0.01694915254237288,0.01694915254237288,125.40327293980128,59.0,0
0.4583333333333333,0.5416666666666666,0.4583333333333333,1.0,0.25354609929078015,48.0,1
0.5,0.5,0.5,1.0,0.2564102564102564,40.0,1
0.4166666666666667,0.5833333333333334,0.4166666666666667,1.0,0.2536231884057971,24.0,1
19.916666666666668,0.08333333333333333,0.0,0.08333333333333333,150.87857142857143,36.0,0
9.272727272727273,0.0,0.09090909090909091,0.09090909090909091,72.61818181818182,11.0,0
0.484375,0.515625,0.484375,1.0,0.2537202380952381,64.0,1
0.5,0.5,0.5,1.0,0.2857142857142857,8.0,1
0.42857142857142855,0.5714285714285714,0.42857142857142855,1.0,0.24935064935064935,56.0,1
0.5,0.5,0.5,1.0,0.25806451612903225,32.0,1
13.272727272727273,0.06060606060606061,0.0707070707070707,0.13131313131313133,113.11873840445269,99.0,0
0.4583333333333333,0.5416666666666666,0.4583333333333333,1.0,0.25354609929078015,48.0,1
0.4375,0.5625,0.4375,1.0,0.2625,16.0,1
16.253731343283583,0.04477611940298507,0.014925373134328358,0.05970149253731343,105.28312980551786,67.0,0
0.4,0.6,0.4,1.0,0.24615384615384617,40.0,1
0.375,0.625,0.375,1.0,0.25,16.0,1
0.4,0.6,0.4,1.0,0.24615384615384617,40.0,1
18.314814814814813,0.037037037037037035,0.018518518518518517,0.05555555555555555,142.33298392732354,54.0,0
0.4166666666666667,0.5833333333333334,0.4166666666666667,1.0,0.2536231884057971,24.0,1
15.85,0.05,0.016666666666666666,0.06666666666666667,112.4686440677966,60.0,0
13.41747572815534,0.02912621359223301,0.02912621359223301,0.05825242718446602,103.2651818008757,103.0,0
0.4642857142857143,0.5357142857142857,0.4642857142857143,1.0,0.2532467532467532,56.0,1
18.85333333333333,0.013333333333333334,0.0,0.013333333333333334,98.91063063063064,75.0,0
13.447761194029852,0.07462686567164178,0.05970149253731343,0.13432835820895522,101.40253279059249,67.0,0
22.45945945945946,0.05405405405405406,0.0,0.05405405405405406,200.92192192192192,37.0,0
15.11340206185567,0.041237113402061855,0.010309278350515464,0.05154639175257732,88.0182560137457,97.0,0
0.59375,0.40625,0.59375,1.0,0.24899193548387097,32.0,1
0.5,0.5,0.5,1.0,0.2857142857142857,8.0,1
0.5833333333333334,0.4166666666666667,0.5833333333333334,1.0,0.2536231884057971,24.0,1
18.962962962962962,0.037037037037037035,0.0,0.037037037037037035,74.80626780626781,27.0,0
16.896103896103895,0.025974025974025976,0.1038961038961039,0.12987012987012986,146.27853725222147,77.0,0
17.296296296296298,0.012345679012345678,0.024691358024691357,0.037037037037037035,92.86111111111111,81.0,0
19.489795918367346,0.02040816326530612,0.04081632653061224,0.061224489795918366,97.25510204081633,49.0,0
13.333333333333334,0.022222222222222223,0.022222222222222223,0.044444444444444446,63.68181818181818,45.0,0
0.53125,0.46875,0.53125,1.0,0.25705645161290325,32.0,1
13.671641791044776,0.014925373134328358,0.05970149253731343,0.07462686567164178,91.70872908186341,67.0,0
0.4583333333333333,0.5416666666666666,0.4583333333333333,1.0,0.25905797101449274,24.0,1
20.07894736842105,0.0,0.05263157894736842,0.05263157894736842,153.53413940256044,38.0,0
8.450819672131148,0.07377049180327869,0.07377049180327869,0.14754098360655737,63.34053651266766,122.0,0
0.40625,0.59375,0.40625,1.0,0.24503968253968253,64.0,1
12.87719298245614,0.05263157894736842,0.05263157894736842,0.10526315789473684,89.85964912280701,57.0,0
0.4583333333333333,0.5416666666666666,0.4583333333333333,1.0,0.25905797101449274,24.0,1
0.5,0.5,0.5,1.0,0.25396825396825395,64.0,1
0.4375,0.5625,0.4375,1.0,0.2625,16.0,1
12.817307692307692,0.18269230769230768,0.04807692307692308,0.23076923076923078,125.99542569081405,104.0,0
